"ppirawscore","country","q01answer","score1","q02answer","score2","q03answer","score3","q04answer","score4","q05answer","score5","q06answer","score6","q07answer","score7","q08answer","score8","q09answer","score9","q10answer","score10","ppi_mfo","id1","Partner.Name","villagecode","Village.Code.Final","propoornormal","flatproportional","squeezebetonnelimite","village_name1","villagename","Baseline","silcgroupgroupname","Poverty.Likelihood","dumPN","dumFP","dumSBL","lgPPI"
5,"Burkina","AUCUNE",29,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,42,11341,"Manga","Village-000310","Village-000284","","","","DALO","Burkina Baseline",1,"Burkina Baseline",25.6,0,0,0,3.242592
5,"Burkina","AUCUNE",29,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,42,11346,"Manga","Village-000310","Village-000284","","","","DALO","Burkina Baseline",1,"Burkina Baseline",25.6,0,0,0,3.242592
5,"Burkina","CINQ",5,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"BOIS A BR?LER, OU AUTRE",0,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,13823,"Kdg","Village-000310","Village-000069","","","","PITMOAGA","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"BOIS A BR?LER, OU AUTRE",0,"DANS LA NATURE, OU AUTRE",0,"NON",0,"OUI",3,"NON",0,"OUI",8,"DEUX",2,13,11542,"Manga","Village-000310","Village-000280","","","","SALAMBAORE","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,7260,"Kdg","Village-000310","Village-000082","","","","BASBEDO","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,7660,"Kdg","Village-000310","Village-000070","","","","TIA","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,7670,"Kdg","Village-000310","Village-000070","","","","TIA","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,7957,"Kdg","Village-000310","Village-000085","","","","ARBOLLE","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,8100,"Manga","Village-000310","Village-000253","","","","OUAREGOU","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,8110,"Manga","Village-000310","Village-000253","","","","OUAREGOU","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,8120,"Manga","Village-000310","Village-000253","","","","OUAREGOU","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,8440,"Manga","Village-000310","Village-000281","","","","MOGANDE","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,8613,"Kdg","Village-000310","Village-000073","","","","YARGO YARCE","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,8622,"Kdg","Village-000310","Village-000073","","","","YARGO YARCE","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,9405,"Kdg","Village-000310","Village-000071","","","","LOAGA","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,9411,"Kdg","Village-000310","Village-000071","","","","LOAGA","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
5,"Burkina","SIX OU PLUS",0,"ACUNE, OU IL N'Y A PAS DE CHEF HOMME DU MENAGE",0,"NON",0,"TORCHE A PILES, OU BATTERIES",5,"DANS LA NATURE, OU AUTRE",0,"NON",0,"NON",0,"NON",0,"OUI",8,"UN, OU AUCUNE",0,13,9417,"Kdg","Village-000310","Village-000071","","","","LOAGA","Burkina Baseline",1,"Burkina Baseline",79.8,0,0,0,4.379524
